Date,Description
2013-12-25,Christmas Day
2013-12-26,Boxing Day
,
2012-01-02,New Year’s Day
2012-02-20,Family Day
2012-04-06,Good Friday
2012-05-21,Victoria Day
2012-07-02,Canada Day
2012-08-06,Civic Holiday
2012-09-03,Labour Day
2012-10-08,Thanksgiving Day
2012-12-25,Christmas Day
2012-12-26,Boxing Day
,
2011-01-03,New Year's Day
2011-02-21,Family Day
2011-04-22,Good Friday
2011-05-23,Victoria Day
2011-07-01,Canada Day
2011-08-01,Civic Holiday
2011-09-05,Labour Day
2011-10-10,Thanksgiving Day
2011-12-26,"Christmas Day, In lieu of"
2011-12-27,"Boxing Day, In lieu of"
,
2010-01-01,New Year's Day
2010-02-15,Family Day
2010-04-02,Good Friday
2010-05-24,Victoria Day
2010-07-01,Canada Day
2010-08-02,August Civic Holiday
2010-09-06,Labour Day
2010-11-10,Thanksgiving Day
2010-12-27,"Christmas, In lieu of"
2010-12-28,"Boxing Day, In lieu of"
,
2009-01-01,New Year's Day
2009-02-16,Family Day
2009-04-10,Good Friday
2009-05-18,Victoria Day
2009-07-01,Canada Day
2009-08-03,August Civic Holiday
2009-09-07,Labour Day
2009-10-12,Thanksgiving Day
2009-12-25,Christmas
2009-12-28,"Boxing Day, In lieu of"
,
2008-01-01,New Year's Day
2008-02-18,Family Day
2008-03-21,Good Friday
2008-05-19,Victoria Day
2008-07-01,Canada Day
2008-08-04,August Civic Holiday
2008-09-01,Labour Day
2008-10-13,Thanksgiving Day
2008-12-25,Christmas
2008-12-26,Boxing Day
,
2007-01-01,New Year's Day
2007-02-19,Family Day
2007-04-06,Good Friday
2007-05-21,Victoria Day
2007-07-02,"Canada Day, In lieu of"
2008-08-06,August Civic Holiday
2007-09-03,Labour Day
2007-10-08,Thanksgiving Day
2007-12-25,Christmas
2007-12-26,Boxing Day
,
2006-01-02,"New Year's Day, In lieu of"
2006-02-20,Family Day
2006-04-14,Good Friday
2006-05-22,Victoria Day
2006-07-01,"Canada Day, In lieu of"
2006-08-03,August Civic Holiday
2006-09-04,Labour Day
2006-10-09,Thanksgiving Day
2006-12-25,Christmas
2006-12-26,Boxing Day
,
2005-01-03,"New Year's Day, In lieu of"
2005-02-21,Family Day
2005-03-25,Good Friday
2005-05-23,Victoria Day
2005-07-01,Canada Day
2005-08-01,August Civic Holiday
2005-09-05,Labour Day
2005-10-10,Thanksgiving Day
2005-12-26,Boxing Day
2005-12-27,"Christmas, In lieu of"
,
2004-01-01,New Year's Day
2004-02-16,Family Day
2004-04-09,Good Friday
2004-05-24,Victoria Day
2004-07-01,Canada Day
2004-08-02,August Civic Holiday
2004-09-06,Labour Day
2004-10-11,Thanksgiving Day
2004-12-27,"Christmas, In lieu of"
2004-12-28,"Boxing Day, In lieu of"
,
2003-01-01,New Year's Day
2003-02-17,Family Day
2003-04-18,Good Friday
2003-05-19,Victoria Day
2003-07-01,Canada Day
2003-08-04,August Civic Holiday
2003-09-01,Labour Day
2003-10-13,Thanksgiving Day
2003-12-25,Christmas
2003-12-26,Boxing Day
,
2002-01-01,New Year's Day
2002-02-18,Family Day
2002-03-29,Good Friday
2002-05-20,Victoria Day
2002-07-01,Canada Day
2002-08-05,August Civic Holiday
2002-09-02,Labour Day
2002-10-14,Thanksgiving Day
2002-12-25,Christmas
2002-12-26,Boxing Day
,
2001-01-01,New Year's Day
2001-02-19,Family Day
2001-04-13,Good Friday
2001-05-21,Victoria Day
2001-07-02,Canada Day
2001-08-06,August Civic Holiday
2001-09-03,Labour Day
2001-10-08,Thanksgiving Day
2001-12-25,Christmas
2001-12-26,Boxing Day
,
2000-01-03,New Year's Day
2000-02-21,Family Day
2000-04-21,Good Friday
2000-05-22,Victoria Day
2000-07-03,Canada Day
2000-08-07,August Civic Holiday
2000-09-04,Labour Day
2000-10-09,Thanksgiving Day
2000-12-25,Christmas
2000-12-26,Boxing Day
,
1999-01-01,New Year's Day
1999-02-15,Family Day
1999-04-02,Good Friday
1999-05-24,Victoria Day
1999-07-01,Canada Day
1999-08-02,August Civic Holiday
1999-09-06,Labour Day
1999-10-11,Thanksgiving Day
1999-12-27,Christmas
1999-12-28,Boxing Day
,
1998-01-01,New Year's Day
1998-02-16,Family Day
1998-04-10,Good Friday
1998-05-18,Victoria Day
1998-07-01,Canada Day
1998-08-03,August Civic Holiday
1998-09-07,Labour Day
1998-10-12,Thanksgiving Day
1998-12-25,Christmas
1998-12-28,Boxing Day
,
1997-01-01,New Year's Day
1997-02-17,Family Day
1997-03-28,Good Friday
1997-05-19,Victoria Day
1997-07-01,Canada Day
1997-08-04,August Civic Holiday
1997-09-01,Labour Day
1997-10-13,Thanksgiving Day
1997-12-25,Christmas
1997-12-26,Boxing Day
,
1996-01-01,New Year's Day
1996-02-19,Family Day
1996-04-05,Good Friday
1996-05-20,Victoria Day
1996-07-01,Canada Day
1996-08-05,August Civic Holiday
1996-09-02,Labour Day
1996-10-14,Thanksgiving Day
1996-12-25,Christmas
1996-12-26,Boxing Day
,
1995-01-02,New Year's Day
1995-02-20,Family Day
1995-04-14,Good Friday
1995-05-22,Victoria Day
1995-07-03,Canada Day
1995-08-07,August Civic Holiday
1995-09-04,Labour Day
1995-10-09,Thanksgiving Day
1995-12-25,Christmas
1995-12-26,Boxing Day
,
1994-01-03,New Year's Day
1994-02-21,Family Day
1994-04-01,Good Friday
1994-05-23,Victoria Day
1994-07-01,Canada Day
1994-08-01,August Civic Holiday
1994-09-05,Labour Day
1994-10-10,Thanksgiving Day
1994-12-26,Christmas
1994-12-27,Boxing Day
,
1993-01-01,New Year's Day
1993-02-15,Family Day
1993-04-09,Good Friday
1993-05-24,Victoria Day
1993-07-01,Canada Day
1993-08-02,August Civic Holiday
1993-09-06,Labour Day
1993-10-11,Thanksgiving Day
1993-12-27,Christmas
1993-12-28,Boxing Day
,
1992-01-01,New Year's Day
1992-02-17,Family Day
1992-04-17,Good Friday
1992-05-18,Victoria Day
1992-07-01,Canada Day
1992-08-03,August Civic Holiday
1992-09-07,Labour Day
1992-10-12,Thanksgiving Day
1992-12-25,Christmas
1992-12-28,Boxing Day
,
1991-01-01,New Year's Day
1991-02-18,Family Day
1991-03-29,Good Friday
1991-05-20,Victoria Day
1991-07-01,Canada Day
1991-08-05,August Civic Holiday
1991-09-02,Labour Day
1991-10-14,Thanksgiving Day
1991-12-25,Christmas
1991-12-26,Boxing Day
,
1990-01-01,New Year's Day
1990-02-19,Family Day
1990-04-13,Good Friday
1990-05-21,Victoria Day
1990-07-02,Canada Day
1990-08-06,August Civic Holiday
1990-09-03,Labour Day
1990-10-08,Thanksgiving Day
1990-12-25,Christmas
1990-12-26,Boxing Day
,
1989-01-02,New Year's Day
1989-02-20,Family Day
1989-03-24,Good Friday
1989-05-22,Victoria Day
1989-07-03,Canada Day
1989-08-07,August Civic Holiday
1989-09-04,Labour Day
1989-10-09,Thanksgiving Day
1989-12-25,Christmas
1989-12-26,Boxing Day
